Work Item Type,ID,Issue ID,Issue Type,Repository,Title,Issue URL,State,Created Date,Changed Date
Issue,81993,9743,GitHub,BotFramework-Composer,Goto Action Stopped working suddenly,"<a href=""https://github.com/microsoft/BotFramework-Composer/issues/9743""> https://github.com/microsoft/BotFramework-Composer/issues/9743</a>",To Do,5/16/2024 11:19:26 AM,5/16/2024 11:26:02 AM
Issue,81985,9742,GitHub,BotFramework-Composer,Could not load component list:Error certificate has expired *** Could not merge components ***,"<a href=""https://github.com/microsoft/BotFramework-Composer/issues/9742""> https://github.com/microsoft/BotFramework-Composer/issues/9742</a>",To Do,5/14/2024 11:05:01 AM,5/14/2024 11:13:41 AM
Issue,81974,78471839,Stack Overflow,StackOverflow,Communicate with Bot framework through web api,"<a href=""https://stackoverflow.com/questions/78471839""> https://stackoverflow.com/questions/78471839 </a>",To Do,5/13/2024 12:21:18 PM,5/13/2024 12:47:29 PM
Issue,81067,452073746,IcM,IcM,DL speech is not working with Python BOT,"<div><a href=""https://portal.microsofticm.com/imp/v3/incidents/incident/452073746/summary"">https://portal.microsofticm.com/imp/v3/incidents/incident/452073746/summary</a><br> </div>",Investigating,1/4/2024 3:06:34 PM,5/1/2024 4:16:35 PM
Issue,81432,6634,GitHub,BotFramework-Sdk,Token Service doesn't refresh token,"<a href=""https://github.com/microsoft/botframework-sdk/issues/6634""> https://github.com/microsoft/botframework-sdk/issues/6634</a>",Waiting on Customer,3/7/2024 11:19:33 AM,5/1/2024 4:16:35 PM
Issue,80999,6628,GitHub,BotFramework-Sdk,Occasional unexpected ConversationNotFound,"<a href=""https://github.com/microsoft/botframework-sdk/issues/6628"">https://github.com/microsoft/botframework-sdk/issues/6628</a>",To Do,12/20/2023 11:09:42 AM,12/20/2023 11:12:05 AM
Issue,81645,9730,GitHub,BotFramework-Composer,Problem when exporting and importing bot as zip,"<a href=""https://github.com/microsoft/BotFramework-Composer/issues/9730""> https://github.com/microsoft/BotFramework-Composer/issues/9730</a>",To Do,3/28/2024 10:59:42 AM,4/19/2024 11:36:20 AM
Issue,80068,4831,GitHub,BotFramework-Webchat,Minimizable Webchat (re-render),"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4831"">https://github.com/microsoft/BotFramework-WebChat/issues/4831</a>",To Do,8/17/2023 10:59:21 AM,4/19/2024 11:36:20 AM
Issue,80360,4859,GitHub,BotFramework-Webchat,It it possible to hide black frames (solid and thin dashed) appears when click on free space inside webchat,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4859"">https://github.com/microsoft/BotFramework-WebChat/issues/4859</a>",To Do,9/13/2023 10:59:18 AM,4/19/2024 11:36:20 AM
Issue,80483,4890,GitHub,BotFramework-Webchat,How to set properties of SpeechConfig in createCognitiveServicesSpeechServicesPonyfillFactory ?,"<a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4890"">https://github.com/microsoft/BotFramework-WebChat/issues/4890</a>",To Do,10/4/2023 11:21:59 AM,4/19/2024 11:36:20 AM
Issue,78454,4635,GitHub,BotFramework-Webchat,Upload File - Clicking 'Retry' uploads wrong file,"<div><a href=""https://github.com/microsoft/BotFramework-WebChat/issues/4635"">https://github.com/microsoft/BotFramework-WebChat/issues/4635</a><br> </div>",Investigating,2/6/2023 11:07:58 AM,5/2/2023 11:18:07 AM
